,discharge,charge_to_4.2v_time,CC_ratio,discharge_to_min_voltage_time,ic_max,discharge_time,capacity,soh
0,1,3218.91,0.31000000000000005,3346.937,18741.17,3690.234,1.8564874208181568,100.0
1,2,3204.41,0.3106666666666667,3328.828,19339.86,3672.344,1.846327249719927,99.45272071416714
2,3,3195.08,0.3113333333333334,3309.422,19285.2,3651.641,1.835349194223408,98.86138595081704
3,4,3194.03,0.31200000000000006,3309.719,19278.51,3631.563,1.8352625275821128,98.85671763794171
4,5,3195.16,0.3120000000000001,3307.688,19181.96,3629.172,1.8346455082120416,98.82348178817772
5,6,3208.74,0.31266666666666676,3309.25,19236.56,3652.281,1.8356616600675493,98.87821697485944
6,7,3208.73,0.31200000000000006,3308.422,19422.97,3650.828,1.8351461429226603,98.85044855913476
7,8,3192.55,0.3126666666666667,3291.484,19299.16,3572.453,1.8257567905665533,98.34468955151549
8,9,3187.47,0.3133333333333334,3289.891,19199.14,3550.594,1.8247738529891333,98.29174345738105
9,10,3185.36,0.3140000000000001,3290.188,19184.86,3551.25,1.824613268496936,98.2830935473199
10,11,3188.39,0.3146666666666667,3290.234,19105.78,3530.25,1.8246195526864504,98.28343204622075
11,12,3175.265,0.31466666666666676,3271.016,19134.11,3491.016,1.814201935767392,97.7222853989428
12,13,3162.14,0.3153333333333334,3270.813,19026.86,3470.281,1.8137521577549047,97.69805803238792
13,14,3159.39,0.31666666666666676,3270.312,19010.45,3470.0,1.8134404914735824,97.68127007692816
14,15,3161.75,0.3166666666666667,3251.063,19011.12,3450.297,1.8025980036306504,97.09723768751648
15,16,3138.05,0.3173333333333334,3249.985,18814.18,3429.407,1.80210690024615,97.07078432300706
16,17,3129.22,0.3160000000000001,3250.438,18827.02,3409.484,1.802579500826209,97.09624103091468
17,18,3130.8,0.316,3251.094,18785.19,3390.422,1.8030683142834096,97.12257104811376
18,19,3138.97,0.31600000000000006,3250.766,18781.17,3390.281,1.802777624719604,97.1069130069902
19,20,3110.17,0.31533333333333335,3330.046,20112.17,3591.734,1.8470259949329195,99.49035873989015
20,21,3265.03,0.31400000000000006,3331.172,20049.87,3552.297,1.847417311283644,99.5114370594272
21,22,3269.88,0.3153333333333334,3311.344,19979.46,3531.578,1.8361774213478947,98.90599854098058
22,23,3239.11,0.314,3292.532,19800.83,3492.907,1.825780747577624,98.34597999985364
23,24,3212.84,0.3126666666666667,3291.172,19729.9,3511.594,1.8251136435078368,98.31004632950896
24,25,3204.14,0.31200000000000006,3292.1870000000054,19604.0,3431.9370000000054,1.825581504220376,98.33524772367372
25,26,3206.19,0.31200000000000006,3271.344,19512.55,3431.125,1.814031127508391,97.71308478400267
26,27,3171.23,0.3126666666666667,3272.672,19386.87,3412.406,1.8147691941158937,97.75284086310276
27,28,3171.64,0.312,3270.922,19316.14,3410.688,1.813969388710352,97.70975921350076
28,29,3161.75,0.3113333333333334,3250.922,19270.62,3410.718,1.802765665167823,97.1062688037682
29,30,3139.12,0.31000000000000005,3253.234,19153.23,3392.719,1.804077040117352,97.17690623092356
30,31,3139.84,0.30800000000000005,3326.578,21733.78,3470.672,1.8518025516704488,99.74764875349146
31,32,3165.89,0.3086666666666667,3289.187,20956.32,3414.109,1.8307038456739428,98.61116348782735
32,33,3191.94,0.3066666666666667,3270.172,20498.86,3395.219,1.8199041089501269,98.02943389447216
33,34,3152.58,0.30400000000000005,3251.391,20481.69,3386.0,1.809307963702852,97.45867078945712
34,35,3118.19,0.30333333333333334,3243.015,20128.42,3368.187,1.80460990458052,97.20560906279802
35,36,3086.38,0.30333333333333334,3233.172,20231.77,3368.266,1.7993770651972192,96.92374130950104
36,37,3071.69,0.30200000000000005,3213.969,19642.64,3358.719,1.7884432335370462,96.33478867036308
37,38,3057.22,0.3006666666666667,3204.25,19468.66,3339.5,1.7829230484252725,96.03744299218224
38,39,3025.86,0.2993333333333334,3186.406,19157.6,3331.265,1.7730337158018288,95.5047524653008
39,40,3003.52,0.29800000000000004,3185.766,19085.95,3321.188,1.773037755078937,95.50497004162602
40,41,2971.08,0.29466666666666674,3176.766,19687.71,3321.844,1.7678721106662054,95.22672175646096
41,42,2975.64,0.2933333333333334,3166.922,18903.51,3311.828,1.762315070409309,94.92739086983164
42,43,2967.08,0.29466666666666674,3187.984,18452.11,3327.391,1.7676172924938447,95.21299593373234
43,44,2948.16,0.29400000000000004,3167.671,18992.88,3312.078,1.762668359743147,94.94642085785507
44,45,2970.52,0.2946666666666667,3148.359,18579.74,3293.172,1.7517304870664143,94.35725054869609
45,46,2939.55,0.29333333333333333,3130.281,18342.28,3275.328,1.7418496047960008,93.82501520146928
46,47,2905.56,0.2926666666666667,3120.219,18366.82,3265.016,1.7360913511847138,93.5148459244402
47,48,2877.38,0.29266666666666674,3223.297,20978.23,3328.937,1.7936240148573608,96.61385230754256
48,49,2895.45,0.2926666666666667,3204.657,20381.3,3329.266,1.7831890223273277,96.05176972012408
49,50,3124.0,0.2913333333333334,3176.516,19956.95,3301.579,1.7673642076278957,95.1993634758384
50,51,3049.61,0.2893333333333334,3158.156,19803.16,3283.563,1.7570177850353066,94.64205172265513
51,52,2990.62,0.2873333333333334,3139.781,19041.97,3275.125,1.7468706179837907,94.09547290193552
52,53,2952.73,0.28666666666666674,3130.359,18836.21,3265.656,1.7417172507457144,93.81788592880078
53,54,2914.62,0.28533333333333344,3120.796,19069.96,3266.093,1.7364225056478186,93.53268361401416
54,55,2901.45,0.2853333333333334,3102.782,18388.27,3257.594,1.7263217239235826,92.988603346571
55,56,2877.52,0.28533333333333344,3083.984,18284.52,3248.593,1.7158065389330133,92.42220117908766
56,57,2845.38,0.2820000000000001,3074.25,17807.48,3238.766,1.710533351135192,92.13816005181208
57,58,2814.03,0.27733333333333343,3065.812,18114.95,3240.14,1.706014499648521,91.89475137389712
58,59,2792.12,0.2746666666666667,3055.89,17465.08,3230.109,1.7003110272642588,91.587532896664
