discharge,charge_to_4.2v_time,CC_ratio,discharge_to_min_voltage_time,ic_max,discharge_time,capacity,soh
1,3571.83,0.3386666666666667,3690.234,21794.64,3690.234,2.035337591005598,100.0
2,3567.97,0.3386666666666667,3672.344,22263.0,3672.344,2.025140246031412,99.49898508143072
3,3546.23,0.3386666666666667,3651.641,22188.39,3651.641,2.013326371345464,98.91854698908898
4,3508.28,0.3386666666666667,3631.563,22142.22,3631.563,2.0132846655407413,98.91649790372313
5,3510.5,0.3353333333333333,3629.172,21921.02,3629.172,2.000528337624771,98.28975529491258
6,3475.12,0.3353333333333333,3652.281,22047.58,3652.281,2.0138990759931645,98.9466850557287
7,3474.3,0.3333333333333333,3650.828,21834.41,3650.828,2.013101105626967,98.907479256665
8,3443.7,0.3326666666666667,3572.453,21655.12,3572.453,1.96878982627284,96.73038197560734
9,3413.88,0.3320000000000001,3550.594,21437.72,3550.594,1.9681661764334244,96.6997408749776
10,3411.23,0.3313333333333334,3551.25,21214.56,3551.25,1.9572307917560536,96.16246466459876
11,3378.48,0.33,3530.25,20989.09,3530.25,1.9455991514129352,95.59098009149795
12,3351.63,0.328,3491.016,20628.96,3491.016,1.934750504484113,95.05796547137972
13,3324.78,0.3266666666666667,3470.281,20450.91,3470.281,1.9232799539368028,94.49439554578116
14,3298.61,0.328,3470.0,20249.48,3470.0,1.911889930948487,93.93478209204012
15,3277.09,0.3266666666666667,3450.297,20071.93,3450.297,1.9010667141979305,93.40301690486008
16,3264.38,0.3266666666666667,3429.407,19721.29,3429.407,1.8891989948061456,92.81993331989464
17,3232.47,0.3246666666666667,3409.484,19526.51,3409.484,1.878278372248849,92.2833824005014
18,3187.36,0.3233333333333334,3390.422,19287.37,3390.422,1.8675697161520208,91.75724579573613
19,3173.05,0.322,3370.156,19017.97,3390.281,1.8675892574453767,91.75820589657847
20,3143.67,0.3226666666666667,3591.734,22071.76,3591.734,1.979626548250818,97.26281070025072
21,3482.09,0.32,3552.297,21921.36,3552.297,1.9575499080884025,96.17814345585968
22,3413.3,0.32,3531.578,21370.14,3531.578,1.9458150170787551,95.6015859814876
23,3369.06,0.3173333333333334,3492.907,20998.81,3492.907,1.9242461121680088,94.5418647339628
24,3306.14,0.3146666666666667,3511.594,20745.99,3511.594,1.945981133142164,95.60974757905956
25,3250.34,0.3126666666666667,3431.9370000000054,20321.7,3431.9370000000054,1.901407930553079,93.41978151219875
26,3206.19,0.3126666666666667,3410.938,19967.71,3431.125,1.878674213680085,92.3028308415357
27,3193.8,0.3126666666666667,3392.25,19652.09,3412.406,1.8683061328264217,91.79342734506018
28,3138.11,0.3113333333333334,3370.266,19349.05,3410.688,1.8560244070083,91.19000283836426
29,3105.59,0.3086666666666667,3330.265,19149.1,3410.718,1.8451997961855773,90.65816915777204
30,3061.44,0.3053333333333333,3372.547,18795.87,3392.719,1.857228890885317,91.24918141799353
31,3029.75,0.3013333333333333,3470.672,21261.05,3470.672,1.924776088909064,94.56790349742867
32,3105.88,0.3000000000000001,3394.531,21344.19,3414.109,1.8822317526092551,92.47761948322794
33,3182.02,0.2966666666666667,3355.984,20077.8,3395.219,1.855276687885587,91.1532659782966
34,3104.23,0.2933333333333334,3327.594,19471.9,3386.0,1.839250891718188,90.36588818710266
35,3041.64,0.2913333333333334,3290.484,18794.78,3368.187,1.8185396073994429,89.34830346748316
36,2986.72,0.2893333333333333,3280.875,18939.54,3368.266,1.8134770059567056,89.09956824708976
37,2956.26,0.2866666666666667,3252.063,18330.4,3358.719,1.7971018450305436,88.29502550201761
38,2926.62,0.2846666666666667,3223.344,17637.31,3339.5,1.7810046294120476,87.50413873759919
39,2877.16,0.2826666666666667,3205.484,17373.22,3331.265,1.7710130422682329,87.01323309187394
40,2839.45,0.2800000000000001,3185.766,17201.44,3321.188,1.7604712448170945,86.49529456915789
41,2794.22,0.2753333333333334,3167.235,17474.67,3321.844,1.7502913788006589,85.9951384249673
42,2775.34,0.2726666666666667,3147.844,16817.66,3311.828,1.7394925037732578,85.46456919285944
43,2748.84,0.2733333333333333,3187.984,16734.57,3327.391,1.7546766553637203,86.21059538809914
44,2722.73,0.272,3196.234,17648.38,3312.078,1.7659390941842177,86.7639403894526
45,2721.78,0.2726666666666667,3138.812,16414.5,3293.172,1.7337887419624838,85.18433254632082
46,2749.97,0.2713333333333333,3101.687,16051.71,3275.328,1.713325912040734,84.17895486292434
47,2677.5,0.27,3082.062,15622.13,3265.016,1.7024077813673466,83.64252637451848
48,2625.84,0.2693333333333333,3299.609,20492.61,3328.937,1.82371946178183,89.60279954741002
49,2631.05,0.268,3271.344,19479.42,3329.266,1.8081284050314708,88.83678132914206
50,3034.31,0.266,3214.579,18614.46,3301.579,1.7757610945034283,87.246513912519
51,2903.48,0.2633333333333333,3158.156,17938.19,3283.563,1.7447409841836798,85.72243699983238
52,2806.08,0.2606666666666667,3130.297,17052.2,3275.125,1.729207034132373,84.95922454210778
53,2737.44,0.2586666666666667,3092.312,16862.63,3265.656,1.7081086552553244,83.92262113192731
54,2671.0,0.2566666666666667,3073.171,16348.79,3266.093,1.6975954237461768,83.40608610817466
55,2634.5,0.256,3045.657,15878.32,3257.594,1.6820634524029463,82.64297086813447
56,2592.69,0.2546666666666667,3026.656,15456.38,3248.593,1.6714768322295086,82.1228301199745
57,2545.31,0.2513333333333334,3007.453,15056.38,3238.766,1.6607591387047655,81.59624948921793
58,2503.28,0.2453333333333333,2989.578,15120.77,3240.14,1.651121015038069,81.12271017518528
59,2468.61,0.2413333333333333,2970.203,14749.67,3230.109,1.640134925619093,80.58294274458677
60,2450.61,0.2366666666666667,2950.828,14385.72,3229.7810000000027,1.629199941616544,80.04568622012265
61,2410.03,0.2333333333333333,2914.406,14050.06,3212.469,1.6088496302961666,79.04583678923177
