CC_time,all_charge_time,CC_ratio
3253.7,10516.0,0.31
3262.25,10484.55,0.31
3252.75,10397.89,0.31
3240.11,10495.2,0.31
3241.36,10792.67,0.3
3255.22,10789.98,0.3
3254.97,10127.56,0.32
3227.11,10147.95,0.32
3233.48,10162.09,0.32
3231.23,10119.38,0.32
3234.59,10013.24,0.32
2938.66,9586.88,0.31
3207.64,9952.36,0.32
3193.34,10758.03,0.3
3207.31,9921.75,0.32
3183.28,10000.25,0.32
3162.97,9936.03,0.32
3187.36,9989.53,0.32
3184.47,10158.78,0.31
3154.89,10289.31,0.31
3311.75,10283.08,0.32
3304.75,10281.39,0.32
3285.81,10081.8,0.33
3259.14,10797.33,0.3
3250.34,10099.22,0.32
3252.89,10078.72,0.32
3217.0,10617.38,0.3
3217.84,10564.16,0.3
3207.86,10143.98,0.32
3184.97,10790.45,0.3
3173.62,10442.89,0.3
3210.35,10278.28,0.31
3247.08,10113.66,0.32
3207.97,10137.89,0.32
3176.41,10651.66,0.3
3125.94,10032.48,0.31
3135.17,10574.3,0.3
3115.25,10461.74,0.3
3059.73,9993.06,0.31
3064.44,10602.28,0.29
3010.3,10667.97,0.28
3031.2,10504.78,0.29
3028.06,10246.78,0.3
3006.33,10166.22,0.3
3031.3,10804.92,0.28
2978.78,10758.98,0.28
2969.12,10317.52,0.29
2935.59,10805.73,0.27
2951.0,9946.39,0.3
3174.34,10063.55,0.32
3097.39,10376.17,0.3
3027.33,9756.86,0.31
3005.53,10610.91,0.28
2975.56,9978.08,0.3
2940.69,10246.98,0.29
2916.58,10437.05,0.28
2892.58,10805.83,0.27
2874.86,10805.38,0.27
2847.84,10685.97,0.27
2826.44,10588.64,0.27
2808.39,10736.09,0.26
2796.83,9790.86,0.29
2749.88,10274.36,0.27
2730.53,10711.06,0.25
2741.22,10806.02,0.25
2719.09,10481.05,0.26
2677.84,10153.36,0.26
2652.44,10662.47,0.25
2627.77,10494.62,0.25
2612.34,10467.75,0.25
2593.16,9904.41,0.26
2581.62,10805.66,0.24
2544.61,10777.33,0.24
2514.14,10745.86,0.23
2515.05,10806.78,0.23
2485.86,10806.59,0.23
2448.48,10429.55,0.23
2433.24,10807.09,0.23
2410.41,10719.02,0.22
2459.88,10806.44,0.23
2385.09,10805.26,0.22
2343.48,10208.06,0.23
2332.77,10807.22,0.22
2338.31,10805.91,0.22
2317.94,10655.94,0.22
2298.98,10117.17,0.23
2272.69,10805.86,0.21
2243.47,10806.33,0.21
2251.11,10744.83,0.21
2236.12,10804.8,0.21
2306.25,10802.58,0.21
2365.19,10544.45,0.22
2338.44,10701.12,0.22
2273.41,10805.81,0.21
2247.39,10693.44,0.21
2225.89,10708.41,0.21
2218.72,10805.3,0.21
2198.92,10363.61,0.21
2186.24,10805.09,0.2
2156.11,10805.5,0.2
2132.47,10806.84,0.2
2120.61,10367.91,0.2
2103.91,10806.72,0.19
2097.36,10043.17,0.21
2157.61,10569.81,0.2
2131.86,9917.2,0.21
2097.61,10317.41,0.2
2057.16,10806.11,0.19
2053.95,10041.92,0.2
2048.3,10719.28,0.19
2032.56,10804.72,0.19
1989.02,10805.69,0.18
1976.33,10011.41,0.2
1973.88,10806.62,0.18
1966.41,10805.56,0.18
1946.64,10807.22,0.18
1926.66,10805.55,0.18
1929.08,10510.45,0.18
1930.41,10202.78,0.19
1926.72,10140.86,0.19
1989.33,10340.67,0.19
1995.52,10700.06,0.19
1948.48,10628.94,0.18
1915.94,10807.11,0.18
1874.62,10722.52,0.17
1860.98,10772.97,0.17
1855.64,10745.72,0.17
1846.38,10807.09,0.17
1818.88,10113.64,0.18
1816.47,10585.81,0.17
1804.17,10806.56,0.17
1803.36,10805.28,0.17
1792.17,10733.39,0.17
1791.22,10805.55,0.17
1879.09,10751.27,0.17
1796.78,10805.62,0.17
1792.39,10806.67,0.17
1755.61,10502.45,0.17
1766.53,10689.22,0.17
1752.02,10436.45,0.17
1749.5,10193.25,0.17
1724.28,10733.7,0.16
1701.33,10647.81,0.16
1688.59,10621.24,0.16
1704.26,9969.58,0.17
1686.53,10501.09,0.16
1660.62,10570.74,0.16
1634.17,10804.76,0.15
1642.64,10037.5,0.16
1640.34,10555.12,0.16
1576.12,10807.33,0.15
1745.11,10790.06,0.16
1701.81,10574.64,0.16
1664.3,10074.11,0.17
1666.34,10423.05,0.16
1647.83,10534.05,0.16
1633.33,10266.81,0.16
1638.03,10568.11,0.15
1613.78,10798.34,0.15
1614.31,10279.05,0.16
1608.62,10299.39,0.16
1599.81,10543.08,0.15
1587.81,10430.11,0.15
1584.03,10154.09,0.16
1563.61,10316.91,0.15
1558.76,10571.39,0.15
1568.14,9892.38,0.16
1601.34,10212.23,0.16
