,ic_max
0,18985.089047619043
1,19003.80047619047
2,19017.404761904756
3,19030.227619047615
4,19043.082380952375
5,19046.559047619045
6,19050.64714285714
7,19052.743333333332
8,19054.64809523809
9,19119.933809523805
10,19182.252857142856
11,19241.21904761904
12,19263.17
13,19284.346190476186
14,19299.845714285708
15,19315.58809523809
16,19322.745714285706
17,19317.65857142857
18,19316.299523809517
19,19314.113333333327
20,19435.490476190473
21,19523.61142857142
22,19588.59952380952
23,19657.87714285714
24,19711.113809523806
25,19769.239999999994
26,19808.690476190473
27,19839.244761904756
28,19856.978571428568
29,19871.491904761897
30,19851.27952380952
31,19796.690952380948
32,19723.959999999995
33,19685.48619047619
34,19630.716666666664
35,19570.63476190476
36,19516.076190476186
37,19591.855238095235
38,19642.57714285714
39,19675.25952380952
40,19706.208571428568
41,19578.027142857136
42,19477.069523809518
43,19409.02666666666
44,19309.339999999997
45,19221.535238095235
46,19106.092857142852
47,19033.345714285708
48,18937.937142857136
49,18843.167619047614
50,18743.972380952375
51,18608.284285714282
52,18515.76333333333
53,18415.63523809523
54,18302.863333333327
55,18193.562857142853
56,18088.342380952377
57,17972.88571428571
58,17727.558095238088
59,17497.91714285714
60,17279.379047619044
61,17066.71714285714
62,16879.39714285714
63,16698.909999999996
64,16498.026190476186
65,16320.89857142857
66,16135.827619047617
67,15996.594285714282
68,15819.196666666663
69,15660.302857142853
70,15516.416190476186
71,15377.243333333332
72,15242.491428571426
73,15094.599047619045
74,14961.65619047619
75,14803.772380952376
76,14664.43714285714
77,14537.040952380949
78,14420.530476190475
79,14351.155238095236
80,14310.900476190474
81,14256.945238095232
82,14185.955238095237
83,14114.991428571424
84,14035.997142857139
85,13962.653809523807
86,13893.411428571424
87,13833.370476190474
88,13749.311428571425
89,13674.131904761902
90,13607.771904761901
91,13535.558095238093
92,13473.892380952379
93,13433.069999999996
94,13382.125238095236
95,13337.776190476186
96,13327.97714285714
97,13274.329999999998
98,13215.28238095238
99,13152.137619047617
100,13103.88714285714
101,12966.614761904757
102,12851.559047619045
103,12755.031904761901
104,12662.944761904759
105,12576.135238095238
106,12488.050476190472
107,12404.129999999997
108,12323.64571428571
109,12278.37714285714
110,12246.101904761901
111,12201.799999999996
112,12148.619999999999
113,12080.707142857142
114,11988.124285714282
115,11910.687619047618
116,11836.29095238095
117,11732.407619047617
118,11666.264285714286
119,11598.970476190476
120,11528.93333333333
121,11399.336666666666
122,11359.884285714284
123,11330.469047619046
124,11288.616190476188
125,11242.653333333332
126,11195.8319047619
127,11155.550476190472
128,11113.045714285712
129,11064.222857142857
130,10972.835714285713
131,10880.295714285712
132,10806.66333333333
133,10746.294761904759
134,10684.819523809523
135,10623.48095238095
136,10561.376666666663
137,10508.033333333331
138,10459.878095238093
139,10428.428571428569
140,10426.212857142853
141,10414.403809523807
142,10397.016666666665
143,10353.894285714285
144,10296.079047619047
145,10246.65857142857
146,10206.116190476188
147,10167.801428571427
148,10127.438571428569
149,10087.816666666666
150,10052.725714285712
151,10023.035238095237
152,9995.456190476187
153,9960.616190476188
154,9926.980476190474
155,9900.56952380952
156,9915.00857142857
157,9926.071904761902
158,9932.891428571425
159,9941.293333333331
160,9936.75095238095
161,9904.814285714283
162,9887.493333333332
163,9878.798571428571
164,9878.33476190476
165,9883.114761904759
166,9891.890952380949
167,9902.338095238092
